label,text,text_length
0.0,huh y lei...,12
0.0,no. on the way home. so if not for the long dry spell the season would have been over,85
1.0,"free insbuyer . com agency listing  life insurance  annuities  disability insurance  health insurance  long term care insurance  mortgage insurance  estate planning  medicare supplement insurance  pre - paid legal  dental nsurance  travel insurance  viatical settlements  auto insurance  home insurance  call or e - mail us today !  or  please fill out the form below for a free listing  name :  company :  address :  city :  state :  zip :  phone :  e - mail :  website :  we don ' t want anyone  to receive our mailings who does not wish to . this is professional communication  sent to insurance professionals . to be removed from this mailing list ,  do not reply to this message . instead , go here :  http : / / www . insurancemail . net  legal notice",758
0.0,"probably gonna be here for a while, see you later tonight &lt;)",63
0.0,yeah i imagine he would be really gentle. unlike the other docs who treat their patients like turkeys.,102
1.0,sms. ac sun0819 posts hello:\you seem cool,42
0.0,"yo, you gonna still be in stock tomorrow/today? i'm trying to get a dubsack",75
1.0,"need to find something ?  to be removed from this list , click here .",69
0.0,pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,98
0.0,i am back. bit long cos of accident on a30. had to divert via wadebridge.i had a brilliant weekend thanks. speak soon. lots of love,131
1.0,you are chosen to receive a å£350 award! pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,159
1.0,"think ur smart ? win å£200 this week in our weekly quiz, text play to 85222 now!t&cs winnersclub po box 84, m26 3uz. 16+. gbp1.50/week",134
0.0,dear how is chechi. did you talk to her,39
0.0,how? izzit still raining?,25
0.0,"yes, princess. toledo.",22
0.0,me fine..absolutly fine,23
0.0,senthil group company apnt 5pm.,31
1.0,"your help  dear sir ,  i am mrs mariam abacha , wife of the late nigerian  head of state , general sani abacha who died on  the 8 th  of june 1998 while still on active duty . i am  contacting you in view of the fact that we will  be of  great assistance to each other likewise  developing a  cordial relationship .  i currently have within my reach the sum of  thirty  six million united states dollars  ( us $ 36 , 000 , 000 ) in  cash , which i intend to use for investment  purposes  specifically in your country . this money came  as a  result of a payback contract deal between my  late  husband and a russian firm on our country ' s  multi - billion dollars ajaokuta steel plant . the  russian partners returned my husbands share of  us $ 36 , 000 , 000 after his death and lodge it with  my  late husband ' s security company in nigeria of  which i  am a director . right now the new civilian  government  have intensified their probe on my husband ' s  financial  resources and they have revoked our licenses  that  allows us to own a financial and oil company .  in view  of this , i acted very fast to withdraw the  us $ 36 , 000 , 000 from the company ' s vault and  deposited  it in a privately erected security safe abroad .  no record ever existed concerning the money  neither is  the money traceable by the government because  there is  no documentation showing that we received the  money  from the russians .  due to the current situation in the country  concerning  government attitude towards my family , it has  become  quite impossible for me to make use of this  money  within , thus i seek assistance to transfer this  money  into your safe bank account . on your consent , i  shall expect  you to contact me urgently to enable us discuss  details of this transaction .  bearing in mind that your assistance is needed  to  transfer the funds , i propose a commission of  20 % of  the total sum to you for the expected services  and  assistance . your urgent response is highly  needed so  as to stop further contacts . all correspondent  should be forwarded to this email : zenab . m @ ompadec . zzn . con  or you can call my son mobile : hamza 234 - 8023137978 i use this  opportunity to implore you to exercise the most  utmost  indulgence to keep this matter extra ordinarily  confidential what ever your decision while i  await your  prompt response .  best personal regards ,  mrs mariam abacha .  - - - -  this sf . net email is sponsored by : jabber - the world ' s fastest growing  real - time communications platform ! don ' t just im . build it in !  http : / / www . jabber . com / osdn / xim  spamassassin - sightings mailing list",2668
0.0,"hello  dear vince ,  i just wanted to let you know that i ' m working here for the summer . i ' m with  ctg ( commercial transactions ) in the industrial services group on the 30 th  floor . i ' m excited to be back at enron and look forward to a great summer .  i ' m also happy to know that it is working out with the new members who have  joined research . i hope you had a very nice memorial day weekend and an even  better birthday . happy ( belated ? ) birthday !  warmest regards ,  van",493
0.0,ok...,5
